#time, temperature
0.01, 72.050
0.24, 72.050
0.46, 72.050
0.68, 72.050
0.91, 72.050
1.13, 72.050
1.36, 72.050
1.58, 72.050
1.80, 72.050
2.03, 72.050
2.26, 72.050
2.49, 72.050
2.71, 72.050
2.94, 72.050
3.17, 72.050
3.39, 72.050
3.62, 72.275
3.84, 72.050
4.06, 72.050
4.29, 72.050
4.51, 72.050
4.74, 72.050
4.96, 72.050
5.19, 72.050
5.42, 72.275
5.65, 72.050
5.88, 72.050
6.10, 72.275
6.32, 72.050
6.55, 72.050
6.77, 72.050
6.99, 72.275
7.22, 72.050
7.44, 72.050
7.66, 72.050
7.89, 72.050
8.12, 72.050
8.34, 72.050
8.57, 72.050
8.79, 72.050
9.02, 72.275
9.24, 72.275
9.46, 72.275
9.69, 72.050
9.91, 72.275
10.14, 72.050
10.36, 72.050
10.59, 72.050
10.81, 72.275
11.04, 72.050
11.26, 72.050
11.48, 72.275
11.71, 72.050
11.93, 72.050
12.15, 72.050
12.38, 72.050
12.60, 72.275
12.83, 72.050
13.06, 72.050
13.28, 72.050
13.51, 72.050
13.73, 72.050
13.96, 72.050
14.18, 72.050
14.41, 72.050
14.63, 72.275
14.86, 72.050
15.08, 72.050
15.30, 72.050
15.53, 72.050
15.76, 72.050
15.99, 72.050
16.22, 72.050
16.44, 72.050
16.67, 72.050
16.89, 72.050
17.12, 72.050
17.35, 72.275
17.57, 72.275
17.79, 72.050
18.01, 72.050
18.24, 72.050
18.46, 72.050
18.68, 72.050
18.91, 72.050
19.13, 72.050
19.35, 72.050
19.57, 72.050
19.80, 72.050
20.02, 72.050
20.25, 72.050
20.48, 72.050
20.70, 72.050
20.92, 72.050
21.15, 72.050
21.37, 72.050
21.59, 72.050
21.82, 72.050
22.04, 72.050
22.27, 72.050
22.49, 72.050
22.71, 72.050
22.94, 72.050
23.17, 72.050
23.39, 72.050
23.61, 72.050
23.84, 72.050
24.06, 72.050
24.28, 72.050
24.51, 72.050
24.73, 72.050
24.96, 72.050
25.18, 72.050
25.40, 71.825
25.63, 72.050
25.85, 72.050
26.07, 72.050
26.30, 72.050
26.52, 72.050
26.74, 72.050
26.97, 72.050
27.19, 72.050
27.42, 72.050
27.64, 72.050
27.86, 72.050
28.09, 72.050
28.31, 72.050
28.53, 72.050
28.76, 72.050
28.98, 72.050
29.21, 72.050
29.43, 72.050
29.66, 72.050
29.88, 72.275
30.10, 72.050
30.33, 72.050
30.55, 72.050
30.77, 72.050
31.00, 72.050
31.22, 72.050
31.44, 72.050
31.67, 72.050
31.89, 72.050
32.12, 72.050
32.34, 72.050
32.56, 72.050
32.79, 72.050
33.01, 72.050
